MD,Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Date2,Date3,Settle_3,Cost_o_C,Month,Day,M_D,YMD,MD,Slope
200906,2009-06-19,405.0,407.25,398.75,399.25,75335.0,182882.0,2009-06-19,20090619,419.5,20.25,6,19,200906,20090619,200906,1
200907,2009-07-22,310.25,310.25,304.5,308.0,69592.0,260000.0,2009-07-22,20090722,332.75,24.75,7,22,200907,20090722,200907,1
200908,2009-08-21,324.0,327.0,318.0,321.75,34627.0,104506.0,2009-08-21,20090821,339.5,17.75,8,21,200908,20090821,200908,1
200909,2009-09-22,321.0,326.0,316.75,325.75,88758.0,520645.0,2009-09-22,20090922,348.25,22.5,9,22,200909,20090922,200909,1
200910,2009-10-21,387.0,403.5,387.0,398.25,110048.0,526187.0,2009-10-21,20091021,418.5,20.25,10,21,200910,20091021,200910,1
200911,2009-11-20,392.0,394.75,389.0,391.0,104244.0,257892.0,2009-11-20,20091120,417.0,26.0,11,20,200911,20091120,200911,1
200912,2009-12-21,398.0,406.5,396.25,400.0,82084.0,484264.0,2009-12-21,20091221,419.75,19.75,12,21,200912,20091221,200912,1
201001,2010-01-25,367.0,369.0,365.5,367.75,116246.0,475031.0,2010-01-25,20100125,388.25,20.5,1,25,201001,20100125,201001,1
201002,2010-02-22,364.0,376.0,361.75,371.5,97358.0,159291.0,2010-02-22,20100222,393.75,22.25,2,22,201002,20100222,201002,1
201003,2010-03-19,373.0,375.5,371.75,374.5,83044.0,440033.0,2010-03-19,20100319,394.0,19.5,3,19,201003,20100319,201003,1
201004,2010-04-22,358.0,362.75,356.25,362.25,104079.0,146436.0,2010-04-22,20100422,379.75,17.5,4,22,201004,20100422,201004,1
201005,2010-05-21,361.5,372.0,361.25,369.0,112279.0,514332.0,2010-05-21,20100521,385.25,16.25,5,21,201005,20100521,201005,1
201006,2010-06-21,366.0,367.0,351.5,355.0,116128.0,238711.0,2010-06-21,20100621,374.75,19.75,6,21,201006,20100621,201006,1
201007,2010-07-22,385.0,386.5,374.5,376.5,47803.0,398630.0,2010-07-22,20100722,403.5,27.0,7,22,201007,20100722,201007,1
201008,2010-08-20,410.75,422.0,410.25,421.25,62710.0,167129.0,2010-08-20,20100820,448.75,27.5,8,20,201008,20100820,201008,1
201009,2010-09-22,510.5,511.5,500.25,505.0,187400.0,789286.0,2010-09-22,20100922,524.5,19.5,9,22,201009,20100922,201009,1
201010,2010-10-21,573.5,573.75,562.0,564.25,222193.0,649542.0,2010-10-21,20101021,581.5,17.25,10,21,201010,20101021,201010,1
201011,2010-11-19,535.0,539.0,518.5,520.75,152125.0,290336.0,2010-11-19,20101119,542.0,21.25,11,19,201011,20101119,201011,1
